id,category,title,description,price,url
1,Tech,Laptop Sleeve,Travel‑Friendly laptop sleeve with ABS housing. active noise cancellation. Bluetooth 5.3.,326.06,https://example.com/tech/laptop-sleeve/1
2,Fashion,Flowy Maxi Dress,Elevated flowy maxi dress in forest vegan leather. slim fit. mother-of-pearl buttons. Available in One size.,220.86,https://example.com/fashion/flowy-maxi-dress/2
3,Home,LED Floor Lamp,Minimalist led floor lamp crafted from bamboo in rose. soft-touch dimmer.,353.39,https://example.com/home/led-floor-lamp/3
4,Fashion,Silk Blouse,Versatile silk blouse in forest merino wool. tailored fit. hidden interior pocket. Available in XS–XL.,165.37,https://example.com/fashion/silk-blouse/4
5,Fashion,Polo Shirt,Compact polo shirt in sand merino wool. boxy cut. breathable weave. Available in S–L.,185.73,https://example.com/fashion/polo-shirt/5
6,Home,Percale Sheet Set,Compact percale sheet set crafted from rattan in sand. tool-free assembly.,331.68,https://example.com/home/percale-sheet-set/6
7,Tech,Smartphone Stand,Elevated smartphone stand with silicone housing. gesture controls. Bluetooth 5.3.,737.35,https://example.com/tech/smartphone-stand/7
8,Home,Percale Sheet Set,Everyday percale sheet set crafted from oak wood in rose. dishwasher safe.,559.8,https://example.com/home/percale-sheet-set/8
9,Home,Throw Blanket,Versatile throw blanket crafted from cast iron in gold. heat-resistant up to 450°F.,120.48,https://example.com/home/throw-blanket/9
10,Home,Cookware Set,Versatile cookware set crafted from stoneware in sand. dishwasher safe.,116.78,https://example.com/home/cookware-set/10
11,Fashion,Silk Blouse,Travel‑Friendly silk blouse in white organic cotton. oversized. breathable weave. Available in 14-inch.,122.43,https://example.com/fashion/silk-blouse/11
12,Fashion,Puffer Jacket,Lightweight puffer jacket in charcoal denim. relaxed fit. double-lined. Available in 14-inch.,89.87,https://example.com/fashion/puffer-jacket/12
13,Tech,USB-C Charger,Travel‑Friendly usb-c charger with nylon housing. up to 20h battery. gesture controls.,677.54,https://example.com/tech/usb-c-charger/13
14,Fashion,Trench Coat,Minimalist trench coat in silver cotton. oversized. removable belt. Available in One size.,228.21,https://example.com/fashion/trench-coat/14
15,Fashion,Leather Tote Bag,Minimalist leather tote bag in charcoal denim. boxy cut. side zip. Available in 14-inch.,306.97,https://example.com/fashion/leather-tote-bag/15
16,Home,Ceramic Vase,Minimalist ceramic vase crafted from cotton in gold. tool-free assembly.,572.07,https://example.com/home/ceramic-vase/16
17,Home,Hand-Tufted Wool Rug,Versatile hand-tufted wool rug crafted from stoneware in sky blue. soft-touch dimmer.,301.07,https://example.com/home/hand-tufted-wool-rug/17
18,Fashion,Linen Summer Dress,Premium linen summer dress in black cotton. tailored fit. mother-of-pearl buttons. Available in One size.,92.44,https://example.com/fashion/linen-summer-dress/18
19,Fashion,Athletic Leggings,Everyday athletic leggings in navy denim. oversized. contrast stitching. Available in 15-inch.,152.86,https://example.com/fashion/athletic-leggings/19
20,Home,Bamboo Cutting Board,Versatile bamboo cutting board crafted from wool in silver. dishwasher safe.,345.72,https://example.com/home/bamboo-cutting-board/20
21,Fashion,Cashmere Scarf,Elevated cashmere scarf in olive cashmere. relaxed fit. side zip. Available in S–L.,238.98,https://example.com/fashion/cashmere-scarf/21
22,Fashion,Chino Pants,Travel‑Friendly chino pants in white silk. tailored fit. side zip. Available in Medium.,160.92,https://example.com/fashion/chino-pants/22
23,Fashion,Merino Crewneck,Elevated merino crewneck in rose cashmere. relaxed fit. stretch panel at back. Available in 15-inch.,187.35,https://example.com/fashion/merino-crewneck/23
24,Fashion,Puffer Jacket,Premium puffer jacket in charcoal vegan leather. tailored fit. mother-of-pearl buttons. Available in XS–XL.,257.25,https://example.com/fashion/puffer-jacket/24
25,Fashion,Chelsea Boots,Minimalist chelsea boots in white vegan leather. slim fit. side zip. Available in One size.,172.03,https://example.com/fashion/chelsea-boots/25
26,Fashion,Wrap Skirt,Elevated wrap skirt in sand merino wool. boxy cut. machine washable. Available in 14-inch.,83.52,https://example.com/fashion/wrap-skirt/26
27,Home,Bamboo Cutting Board,Travel‑Friendly bamboo cutting board crafted from wool in silver. heat-resistant up to 450°F.,347.93,https://example.com/home/bamboo-cutting-board/27
28,Tech,Gaming Mouse,Compact gaming mouse with aluminum housing. USB‑C charging. gesture controls.,641.81,https://example.com/tech/gaming-mouse/28
29,Fashion,High-Rise Jeans,Elevated high-rise jeans in cream merino wool. slim fit. contrast stitching. Available in Large.,100.57,https://example.com/fashion/high-rise-jeans/29
30,Fashion,Chelsea Boots,Travel‑Friendly chelsea boots in cream cotton. boxy cut. breathable weave. Available in Small.,40.46,https://example.com/fashion/chelsea-boots/30
31,Home,Hand-Tufted Wool Rug,Compact hand-tufted wool rug crafted from bamboo in forest. soft-touch dimmer.,150.41,https://example.com/home/hand-tufted-wool-rug/31
32,Fashion,Ribbed Tank,Everyday ribbed tank in charcoal silk. boxy cut. removable belt. Available in One size.,122.37,https://example.com/fashion/ribbed-tank/32
33,Fashion,Loafer,Compact loafer in gold linen. oversized. side zip. Available in S–L.,279.84,https://example.com/fashion/loafer/33
34,Tech,Laptop Sleeve,Everyday laptop sleeve with polycarbonate housing. sleep mode after 10 min. fold-flat hinges.,463.38,https://example.com/tech/laptop-sleeve/34
35,Fashion,Loafer,Versatile loafer in sand denim. relaxed fit. hidden interior pocket. Available in 14-inch.,277.22,https://example.com/fashion/loafer/35
36,Fashion,Flowy Maxi Dress,Everyday flowy maxi dress in navy organic cotton. oversized. mother-of-pearl buttons. Available in Small.,188.5,https://example.com/fashion/flowy-maxi-dress/36
37,Home,Ceramic Vase,Premium ceramic vase crafted from oak wood in charcoal. soft-touch dimmer.,316.27,https://example.com/home/ceramic-vase/37
38,Tech,Tablet Stylus,Compact tablet stylus with nylon housing. fold-flat hinges. multi‑device pairing.,468.85,https://example.com/tech/tablet-stylus/38
39,Fashion,Wool Overshirt,Minimalist wool overshirt in white linen. tailored fit. removable belt. Available in Small.,115.72,https://example.com/fashion/wool-overshirt/39
40,Tech,Gaming Mouse,Lightweight gaming mouse with nylon housing. sleep mode after 10 min. fold-flat hinges.,445.91,https://example.com/tech/gaming-mouse/40
41,Fashion,Cashmere Scarf,Travel‑Friendly cashmere scarf in sand merino wool. oversized. machine washable. Available in 13-inch.,347.09,https://example.com/fashion/cashmere-scarf/41
42,Tech,Smart Home Hub,Elevated smart home hub with polycarbonate housing. active noise cancellation. multi‑device pairing.,445.08,https://example.com/tech/smart-home-hub/42
43,Fashion,Puffer Jacket,Premium puffer jacket in sand cashmere. relaxed fit. double-lined. Available in Medium.,272.17,https://example.com/fashion/puffer-jacket/43
44,Fashion,Linen Summer Dress,Compact linen summer dress in terracotta suede. boxy cut. hidden interior pocket. Available in 14-inch.,273.2,https://example.com/fashion/linen-summer-dress/44
45,Fashion,High-Rise Jeans,Elevated high-rise jeans in sand silk. tailored fit. removable belt. Available in 13-inch.,171.24,https://example.com/fashion/high-rise-jeans/45
46,Fashion,Sports Bra,Travel‑Friendly sports bra in black cashmere. slim fit. mother-of-pearl buttons. Available in Medium.,99.93,https://example.com/fashion/sports-bra/46
47,Tech,Tablet Stylus,Travel‑Friendly tablet stylus with aluminum housing. USB‑C charging. fold-flat hinges.,354.49,https://example.com/tech/tablet-stylus/47
48,Tech,Portable SSD,Minimalist portable ssd with ABS housing. USB‑C charging. sleep mode after 10 min.,595.39,https://example.com/tech/portable-ssd/48
49,Home,Bath Towel Set,Versatile bath towel set crafted from bamboo in black. tool-free assembly.,399.13,https://example.com/home/bath-towel-set/49
50,Fashion,Athletic Leggings,Travel‑Friendly athletic leggings in forest cotton. slim fit. breathable weave. Available in 14-inch.,109.21,https://example.com/fashion/athletic-leggings/50
51,Tech,Tablet Stylus,Premium tablet stylus with ABS housing. low‑latency mode. fold-flat hinges.,702.98,https://example.com/tech/tablet-stylus/51
52,Tech,Foldable Phone Stand,Versatile foldable phone stand with ABS housing. sleep mode after 10 min. gesture controls.,49.98,https://example.com/tech/foldable-phone-stand/52
53,Fashion,Flowy Maxi Dress,Lightweight flowy maxi dress in charcoal cotton. boxy cut. double-lined. Available in 15-inch.,114.1,https://example.com/fashion/flowy-maxi-dress/53
54,Home,Espresso Machine,Versatile espresso machine crafted from stainless steel in sand. soft-touch dimmer.,520.08,https://example.com/home/espresso-machine/54
55,Fashion,Classic Leather Sneakers,Everyday classic leather sneakers in rose organic cotton. tailored fit. stretch panel at back. Available in One size.,57.83,https://example.com/fashion/classic-leather-sneakers/55
56,Home,Storage Basket,Elevated storage basket crafted from stoneware in beige. matte glaze.,521.87,https://example.com/home/storage-basket/56
57,Home,Electric Kettle,Elevated electric kettle crafted from hand-blown glass in gold. reversible.,88.08,https://example.com/home/electric-kettle/57
58,Home,Cookware Set,Versatile cookware set crafted from stoneware in black. matte glaze.,490.9,https://example.com/home/cookware-set/58
59,Fashion,Polo Shirt,Compact polo shirt in charcoal merino wool. boxy cut. hidden interior pocket. Available in 15-inch.,97.16,https://example.com/fashion/polo-shirt/59
60,Tech,4K Webcam,Elevated 4k webcam with aluminum housing. Bluetooth 5.3. multi‑device pairing.,596.65,https://example.com/tech/4k-webcam/60
61,Home,Hand-Tufted Wool Rug,Premium hand-tufted wool rug crafted from cast iron in cream. matte glaze.,419.7,https://example.com/home/hand-tufted-wool-rug/61
62,Tech,Drone Camera,Travel‑Friendly drone camera with nylon housing. Bluetooth 5.3. gesture controls.,692.31,https://example.com/tech/drone-camera/62
63,Fashion,Merino Crewneck,Elevated merino crewneck in silver suede. relaxed fit. contrast stitching. Available in Medium.,225.28,https://example.com/fashion/merino-crewneck/63
64,Home,Dining Chair,Elevated dining chair crafted from walnut in olive. dishwasher safe.,268.34,https://example.com/home/dining-chair/64
65,Fashion,Polo Shirt,Everyday polo shirt in silver merino wool. tailored fit. mother-of-pearl buttons. Available in Large.,227.17,https://example.com/fashion/polo-shirt/65
66,Tech,Smartphone Stand,Everyday smartphone stand with aluminum housing. gesture controls. up to 20h battery.,633.26,https://example.com/tech/smartphone-stand/66
67,Tech,4K Webcam,Elevated 4k webcam with aluminum housing. gesture controls. up to 20h battery.,655.49,https://example.com/tech/4k-webcam/67
68,Tech,Mechanical Keyboard,Everyday mechanical keyboard with ABS housing. multi‑device pairing. Bluetooth 5.3.,649.22,https://example.com/tech/mechanical-keyboard/68
69,Tech,Bluetooth Speaker,Everyday bluetooth speaker with aluminum housing. multi‑device pairing. USB‑C charging.,466.81,https://example.com/tech/bluetooth-speaker/69
70,Tech,Mechanical Keyboard,Compact mechanical keyboard with polycarbonate housing. up to 20h battery. multi‑device pairing.,437.52,https://example.com/tech/mechanical-keyboard/70
71,Tech,Action Camera,Everyday action camera with aluminum housing. up to 20h battery. sleep mode after 10 min.,487.56,https://example.com/tech/action-camera/71
72,Tech,Wireless Earbuds,Premium wireless earbuds with polycarbonate housing. active noise cancellation. sleep mode after 10 min.,155.49,https://example.com/tech/wireless-earbuds/72
73,Home,Bath Towel Set,Premium bath towel set crafted from hand-blown glass in navy. fingerprint-resistant.,587.82,https://example.com/home/bath-towel-set/73
74,Home,Aroma Diffuser,Premium aroma diffuser crafted from stainless steel in sky blue. modular design.,189.73,https://example.com/home/aroma-diffuser/74
75,Home,Down Pillow,Versatile down pillow crafted from bamboo in silver. non-slip feet.,352.19,https://example.com/home/down-pillow/75
76,Fashion,Cashmere Scarf,Everyday cashmere scarf in silver linen. boxy cut. side zip. Available in One size.,334.77,https://example.com/fashion/cashmere-scarf/76
77,Fashion,Denim Jacket,Lightweight denim jacket in navy organic cotton. oversized. stretch panel at back. Available in Small.,194.61,https://example.com/fashion/denim-jacket/77
78,Fashion,Wool Overshirt,Elevated wool overshirt in charcoal cotton. oversized. breathable weave. Available in 14-inch.,318.05,https://example.com/fashion/wool-overshirt/78
79,Home,Electric Kettle,Premium electric kettle crafted from stainless steel in navy. fingerprint-resistant.,492.8,https://example.com/home/electric-kettle/79
80,Fashion,High-Rise Jeans,Versatile high-rise jeans in rose suede. tailored fit. removable belt. Available in Large.,73.39,https://example.com/fashion/high-rise-jeans/80
81,Fashion,Puffer Jacket,Lightweight puffer jacket in sky blue merino wool. boxy cut. mother-of-pearl buttons. Available in XS–XL.,270.03,https://example.com/fashion/puffer-jacket/81
82,Home,LED Floor Lamp,Travel‑Friendly led floor lamp crafted from cast iron in white. soft-touch dimmer.,258.73,https://example.com/home/led-floor-lamp/82
83,Tech,Action Camera,Compact action camera with silicone housing. low‑latency mode. USB‑C charging.,70.95,https://example.com/tech/action-camera/83
84,Fashion,Merino Crewneck,Versatile merino crewneck in blush cotton. boxy cut. contrast stitching. Available in Small.,118.74,https://example.com/fashion/merino-crewneck/84
85,Home,Dining Chair,Everyday dining chair crafted from walnut in sand. non-slip feet.,400.42,https://example.com/home/dining-chair/85
86,Home,Espresso Machine,Versatile espresso machine crafted from walnut in olive. non-slip feet.,426.83,https://example.com/home/espresso-machine/86
87,Tech,Wireless Earbuds,Versatile wireless earbuds with silicone housing. sleep mode after 10 min. up to 20h battery.,127.84,https://example.com/tech/wireless-earbuds/87
88,Fashion,Merino Crewneck,Minimalist merino crewneck in white linen. tailored fit. breathable weave. Available in 15-inch.,76.8,https://example.com/fashion/merino-crewneck/88
89,Fashion,Silk Blouse,Everyday silk blouse in navy organic cotton. boxy cut. removable belt. Available in S–L.,133.07,https://example.com/fashion/silk-blouse/89
90,Tech,Mechanical Keyboard,Versatile mechanical keyboard with aluminum housing. sleep mode after 10 min. Bluetooth 5.3.,216.85,https://example.com/tech/mechanical-keyboard/90
91,Home,Stoneware Dinner Plates,Compact stoneware dinner plates crafted from bamboo in blush. heat-resistant up to 450°F.,509.26,https://example.com/home/stoneware-dinner-plates/91
92,Fashion,Ballet Flats,Elevated ballet flats in cream silk. tailored fit. hidden interior pocket. Available in One size.,155.66,https://example.com/fashion/ballet-flats/92
93,Fashion,Work Blazer,Lightweight work blazer in rose merino wool. boxy cut. stretch panel at back. Available in S–L.,75.49,https://example.com/fashion/work-blazer/93
94,Home,Percale Sheet Set,Elevated percale sheet set crafted from stainless steel in cream. non-slip feet.,386.79,https://example.com/home/percale-sheet-set/94
95,Tech,Bluetooth Speaker,Minimalist bluetooth speaker with ABS housing. fold-flat hinges. active noise cancellation.,511.55,https://example.com/tech/bluetooth-speaker/95
96,Home,Round Wall Mirror,Premium round wall mirror crafted from cotton in blush. heat-resistant up to 450°F.,237.6,https://example.com/home/round-wall-mirror/96
97,Fashion,Flowy Maxi Dress,Compact flowy maxi dress in blush organic cotton. tailored fit. side zip. Available in XS–XL.,54.17,https://example.com/fashion/flowy-maxi-dress/97
98,Fashion,Merino Crewneck,Compact merino crewneck in cream cotton. slim fit. mother-of-pearl buttons. Available in One size.,284.27,https://example.com/fashion/merino-crewneck/98
99,Fashion,Chelsea Boots,Travel‑Friendly chelsea boots in silver denim. tailored fit. breathable weave. Available in Medium.,276.04,https://example.com/fashion/chelsea-boots/99
100,Fashion,Pleated Midi Skirt,Lightweight pleated midi skirt in forest merino wool. boxy cut. mother-of-pearl buttons. Available in XS–XL.,158.91,https://example.com/fashion/pleated-midi-skirt/100
101,Tech,Smartwatch,Lightweight smartwatch with polycarbonate housing. fold-flat hinges. Bluetooth 5.3.,606.1,https://example.com/tech/smartwatch/101
102,Home,Throw Blanket,Travel‑Friendly throw blanket crafted from walnut in beige. tool-free assembly.,422.93,https://example.com/home/throw-blanket/102
103,Fashion,Ribbed Tank,Travel‑Friendly ribbed tank in cream cotton. slim fit. contrast stitching. Available in Large.,310.74,https://example.com/fashion/ribbed-tank/103
104,Fashion,Wool Overshirt,Premium wool overshirt in navy organic cotton. oversized. breathable weave. Available in 13-inch.,175.5,https://example.com/fashion/wool-overshirt/104
105,Fashion,Classic Leather Sneakers,Minimalist classic leather sneakers in cream denim. oversized. contrast stitching. Available in 15-inch.,186.17,https://example.com/fashion/classic-leather-sneakers/105
106,Home,Bath Towel Set,Versatile bath towel set crafted from bamboo in forest. soft-touch dimmer.,357.53,https://example.com/home/bath-towel-set/106
107,Fashion,Corduroy Trousers,Lightweight corduroy trousers in white merino wool. relaxed fit. removable belt. Available in S–L.,308.05,https://example.com/fashion/corduroy-trousers/107
108,Home,LED Floor Lamp,Elevated led floor lamp crafted from stainless steel in rose. reversible.,511.36,https://example.com/home/led-floor-lamp/108
109,Tech,Laptop Sleeve,Everyday laptop sleeve with silicone housing. sleep mode after 10 min. up to 20h battery.,97.18,https://example.com/tech/laptop-sleeve/109
110,Fashion,Classic Leather Sneakers,Versatile classic leather sneakers in beige linen. boxy cut. side zip. Available in Medium.,341.09,https://example.com/fashion/classic-leather-sneakers/110
111,Fashion,Athletic Leggings,Compact athletic leggings in black merino wool. relaxed fit. contrast stitching. Available in One size.,233.15,https://example.com/fashion/athletic-leggings/111
112,Fashion,Pleated Midi Skirt,Everyday pleated midi skirt in forest organic cotton. tailored fit. contrast stitching. Available in One size.,253.13,https://example.com/fashion/pleated-midi-skirt/112
113,Tech,Fitness Tracker,Lightweight fitness tracker with ABS housing. up to 20h battery. multi‑device pairing.,683.83,https://example.com/tech/fitness-tracker/113
114,Fashion,Heeled Sandals,Elevated heeled sandals in navy cashmere. oversized. breathable weave. Available in 13-inch.,284.62,https://example.com/fashion/heeled-sandals/114
115,Tech,Foldable Phone Stand,Travel‑Friendly foldable phone stand with aluminum housing. low‑latency mode. Bluetooth 5.3.,333.23,https://example.com/tech/foldable-phone-stand/115
116,Fashion,Leather Tote Bag,Everyday leather tote bag in silver linen. boxy cut. removable belt. Available in 13-inch.,339.8,https://example.com/fashion/leather-tote-bag/116
117,Tech,Tablet Stylus,Versatile tablet stylus with aluminum housing. low‑latency mode. gesture controls.,664.26,https://example.com/tech/tablet-stylus/117
118,Fashion,Heeled Sandals,Travel‑Friendly heeled sandals in charcoal merino wool. oversized. breathable weave. Available in 13-inch.,188.31,https://example.com/fashion/heeled-sandals/118
119,Home,Hand-Tufted Wool Rug,Compact hand-tufted wool rug crafted from hand-blown glass in white. tool-free assembly.,207.26,https://example.com/home/hand-tufted-wool-rug/119
120,Tech,Portable Projector,Versatile portable projector with silicone housing. sleep mode after 10 min. USB‑C charging.,244.78,https://example.com/tech/portable-projector/120
121,Fashion,High-Rise Jeans,Travel‑Friendly high-rise jeans in forest merino wool. boxy cut. breathable weave. Available in Medium.,205.14,https://example.com/fashion/high-rise-jeans/121
122,Home,Stoneware Dinner Plates,Everyday stoneware dinner plates crafted from wool in beige. soft-touch dimmer.,95.74,https://example.com/home/stoneware-dinner-plates/122
123,Home,Dining Chair,Lightweight dining chair crafted from cotton in cream. modular design.,514.41,https://example.com/home/dining-chair/123
124,Tech,USB-C Charger,Minimalist usb-c charger with silicone housing. gesture controls. sleep mode after 10 min.,635.94,https://example.com/tech/usb-c-charger/124
125,Home,Espresso Machine,Compact espresso machine crafted from stainless steel in beige. dishwasher safe.,538.61,https://example.com/home/espresso-machine/125
126,Fashion,High-Rise Jeans,Premium high-rise jeans in sand organic cotton. boxy cut. breathable weave. Available in Small.,273.92,https://example.com/fashion/high-rise-jeans/126
127,Home,Cast Iron Skillet,Travel‑Friendly cast iron skillet crafted from rattan in terracotta. matte glaze.,46.65,https://example.com/home/cast-iron-skillet/127
128,Fashion,Denim Jacket,Minimalist denim jacket in silver merino wool. relaxed fit. breathable weave. Available in 13-inch.,230.38,https://example.com/fashion/denim-jacket/128
129,Home,Round Wall Mirror,Lightweight round wall mirror crafted from wool in rose. reversible.,505.29,https://example.com/home/round-wall-mirror/129
130,Fashion,Corduroy Trousers,Versatile corduroy trousers in navy cotton. relaxed fit. contrast stitching. Available in Medium.,35.21,https://example.com/fashion/corduroy-trousers/130
131,Fashion,Sports Bra,Compact sports bra in terracotta suede. slim fit. contrast stitching. Available in 15-inch.,327.42,https://example.com/fashion/sports-bra/131
132,Tech,Foldable Phone Stand,Versatile foldable phone stand with silicone housing. low‑latency mode. USB‑C charging.,147.44,https://example.com/tech/foldable-phone-stand/132
133,Tech,USB-C Charger,Travel‑Friendly usb-c charger with nylon housing. low‑latency mode. fold-flat hinges.,378.8,https://example.com/tech/usb-c-charger/133
134,Fashion,Heeled Sandals,Elevated heeled sandals in sand merino wool. oversized. hidden interior pocket. Available in S–L.,347.39,https://example.com/fashion/heeled-sandals/134
135,Home,Bamboo Cutting Board,Elevated bamboo cutting board crafted from walnut in sand. modular design.,268.12,https://example.com/home/bamboo-cutting-board/135
136,Tech,Portable Projector,Lightweight portable projector with ABS housing. gesture controls. active noise cancellation.,796.66,https://example.com/tech/portable-projector/136
137,Home,Aroma Diffuser,Travel‑Friendly aroma diffuser crafted from wool in cream. reversible.,547.46,https://example.com/home/aroma-diffuser/137
138,Home,Bamboo Cutting Board,Travel‑Friendly bamboo cutting board crafted from cast iron in navy. matte glaze.,531.65,https://example.com/home/bamboo-cutting-board/138
139,Home,Round Wall Mirror,Versatile round wall mirror crafted from stainless steel in sky blue. reversible.,195.08,https://example.com/home/round-wall-mirror/139
140,Home,Storage Basket,Versatile storage basket crafted from cast iron in navy. tool-free assembly.,527.17,https://example.com/home/storage-basket/140
141,Fashion,Chelsea Boots,Lightweight chelsea boots in white linen. oversized. machine washable. Available in 13-inch.,310.51,https://example.com/fashion/chelsea-boots/141
142,Tech,Drone Camera,Minimalist drone camera with ABS housing. low‑latency mode. multi‑device pairing.,97.34,https://example.com/tech/drone-camera/142
143,Fashion,Work Blazer,Minimalist work blazer in beige organic cotton. relaxed fit. mother-of-pearl buttons. Available in 13-inch.,145.34,https://example.com/fashion/work-blazer/143
144,Fashion,Silk Blouse,Everyday silk blouse in sky blue vegan leather. oversized. contrast stitching. Available in Medium.,56.37,https://example.com/fashion/silk-blouse/144
145,Home,Stoneware Dinner Plates,Travel‑Friendly stoneware dinner plates crafted from wool in white. matte glaze.,405.42,https://example.com/home/stoneware-dinner-plates/145
146,Home,Throw Blanket,Minimalist throw blanket crafted from cotton in sky blue. non-slip feet.,396.37,https://example.com/home/throw-blanket/146
147,Tech,Noise-Cancelling Headphones,Minimalist noise-cancelling headphones with aluminum housing. active noise cancellation. USB‑C charging.,65.14,https://example.com/tech/noise-cancelling-headphones/147
148,Tech,Bluetooth Speaker,Lightweight bluetooth speaker with polycarbonate housing. fold-flat hinges. up to 20h battery.,509.84,https://example.com/tech/bluetooth-speaker/148
149,Tech,Mechanical Keyboard,Versatile mechanical keyboard with ABS housing. multi‑device pairing. low‑latency mode.,587.64,https://example.com/tech/mechanical-keyboard/149
150,Fashion,Chino Pants,Everyday chino pants in cream merino wool. boxy cut. contrast stitching. Available in 14-inch.,271.67,https://example.com/fashion/chino-pants/150
151,Fashion,Polo Shirt,Lightweight polo shirt in olive vegan leather. slim fit. hidden interior pocket. Available in S–L.,167.35,https://example.com/fashion/polo-shirt/151
152,Tech,Smart Home Hub,Minimalist smart home hub with aluminum housing. active noise cancellation. gesture controls.,95.68,https://example.com/tech/smart-home-hub/152
153,Fashion,Athletic Leggings,Lightweight athletic leggings in blush cotton. tailored fit. mother-of-pearl buttons. Available in XS–XL.,60.46,https://example.com/fashion/athletic-leggings/153
154,Tech,Action Camera,Lightweight action camera with ABS housing. fold-flat hinges. low‑latency mode.,190.4,https://example.com/tech/action-camera/154
155,Home,Aroma Diffuser,Travel‑Friendly aroma diffuser crafted from cotton in black. matte glaze.,65.2,https://example.com/home/aroma-diffuser/155
156,Tech,Smartwatch,Lightweight smartwatch with silicone housing. multi‑device pairing. active noise cancellation.,485.1,https://example.com/tech/smartwatch/156
157,Tech,Bluetooth Speaker,Versatile bluetooth speaker with silicone housing. active noise cancellation. USB‑C charging.,427.57,https://example.com/tech/bluetooth-speaker/157
158,Fashion,Linen Summer Dress,Versatile linen summer dress in rose organic cotton. boxy cut. breathable weave. Available in 14-inch.,172.42,https://example.com/fashion/linen-summer-dress/158
159,Tech,Noise-Cancelling Headphones,Premium noise-cancelling headphones with ABS housing. gesture controls. active noise cancellation.,31.25,https://example.com/tech/noise-cancelling-headphones/159
160,Fashion,Ballet Flats,Premium ballet flats in white suede. oversized. double-lined. Available in 14-inch.,139.94,https://example.com/fashion/ballet-flats/160
161,Tech,Tablet Stylus,Compact tablet stylus with ABS housing. Bluetooth 5.3. multi‑device pairing.,118.46,https://example.com/tech/tablet-stylus/161
162,Fashion,Cashmere Scarf,Everyday cashmere scarf in navy linen. oversized. double-lined. Available in S–L.,305.31,https://example.com/fashion/cashmere-scarf/162
163,Fashion,Heeled Sandals,Premium heeled sandals in rose linen. relaxed fit. double-lined. Available in 15-inch.,252.09,https://example.com/fashion/heeled-sandals/163
164,Home,Electric Kettle,Travel‑Friendly electric kettle crafted from stainless steel in silver. modular design.,297.07,https://example.com/home/electric-kettle/164
165,Tech,Portable Projector,Compact portable projector with polycarbonate housing. sleep mode after 10 min. gesture controls.,202.43,https://example.com/tech/portable-projector/165
